报文种类,报文标识号,收款人帐号,收款人名称,付款行行号,付款行名称,付款人帐号,付款人名称,金额
111,2017030000000000 ,350100000000000000 ,暂收款,308222000000 ,招商银行大连分行,941159000000000000 ,待结算财政款项-待报解预算收入-海关税款（银关通专户）,5778999.92 
111,2017030000000000 ,350100000000000000 ,暂收款,313228000000 ,营口银行股份有限公司资金清算中心,530001000000000000 ,待报解预算收入(联网),109.52 
111,2017030000000000 ,350100000000000000 ,暂收款,301222000000 ,交通银行大连分行,212800000000000000000000 ,暂收结算款项-待结转海关税费款（电子支付）,3142857.85 
111,2017030000000000 ,350100000000000000 ,暂收款,301222000000 ,交通银行大连分行,212800000000000000000000 ,交通银行大连分行,6409.63 
111,2017030000000000 ,350100000000000000 ,暂收款,307222000000 ,平安银行大连分行,4170006 ,国库信息处理系统专户,19847.78 
111,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,哈尔滨银行股份有限公司大连分行,301223000000000 ,待报解预算收入（电子）,208.59 
111,2017030000000000 ,350100000000000000 ,暂收款,307222000000 ,平安银行大连分行,4170006 ,国库信息处理系统专户,257572.20 
111,2017030000000000 ,350100000000000000 ,暂收款,402221000000 ,辽宁省农村信用社联合社运营管理部,101463000000000 ,辽宁省农村信用社联合社会计部(结算中心),6973.20 
111,2017030000000000 ,350100000000000000 ,暂收款,105222000000 ,中国建设银行大连市分行,10121200000000000000000000 ,待报解预算收入海关税费待上缴户,6758635.80 
111,2017030000000000 ,350100000000000000 ,暂收款,320222000000 ,大连经济技术开发区鑫汇村镇银行股份有限公司,99001000000000 ,待结算财政款项-税库银地税,1262.11 
111,2017030000000000 ,350100000000000000 ,暂收款,309222000000 ,兴业银行股份有限公司大连分行,531010000000000000 ,统一版财税库行待报解预算收入,51128.00 
111,2017030000000000 ,350100000000000000 ,暂收款,905290000000 ,中国银联股份有限公司,1100000000 ,银联卡一级资金清算,4860139.98 
111,2017030000000000 ,350100000000000000 ,暂收款,905290000000 ,中国银联股份有限公司,1100000000 ,银联卡一级资金清算,6918649.98 
111,2017030000000000 ,350100000000000000 ,暂收款,313228000000 ,营口银行股份有限公司资金清算中心,530001000000000000 ,待报解预算收入(联网),52.36 
111,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,吉林银行大连分行清算中心,9109800000000000000 ,待缴库税款,52310.68 
111,2017030000000000 ,350100000000000000 ,暂收款,301222000000 ,交通银行大连分行,212800000000000000000000 ,交通银行大连分行,136416.36 
111,2017030000000000 ,350100000000000000 ,暂收款,301222000000 ,交通银行大连分行,212800000000000000000000 ,暂收结算款项-待结转海关税费款（电子支付）,3353715.59 
111,2017030000000000 ,350100000000000000 ,暂收款,309222000000 ,兴业银行股份有限公司大连分行,531010000000000000 ,统一版财税库行待报解预算收入,1797708.37 
111,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,哈尔滨银行股份有限公司大连分行,301223000000000 ,待报解预算收入（电子）,87503.95 
111,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,盛京银行大连分行营业部,6010010000000000000 ,待处理财政款项,43.69 
111,2017030000000000 ,350100000000000000 ,暂收款,308222000000 ,招商银行大连分行,941159000000000000 ,待结算财政款项-待报解预算收入-海关税款（银关通专户）,3292898.97 
111,2017030000000000 ,350100000000000000 ,暂收款,307222000000 ,平安银行大连分行,4170006 ,国库信息处理系统专户,97357.56 
111,2017030000000000 ,350100000000000000 ,暂收款,307222000000 ,平安银行大连分行,4170006 ,国库信息处理系统专户,22881.66 
111,2017030000000000 ,350100000000000000 ,暂收款,320222000000 ,大连经济技术开发区鑫汇村镇银行股份有限公司,99001000000000 ,待结算财政款项-税库银地税,21.84 
111,2017030000000000 ,350100000000000000 ,暂收款,402221000000 ,辽宁省农村信用社联合社运营管理部,101463000000000 ,辽宁省农村信用社联合社会计部(结算中心),387178.91 
111,2017030000000000 ,350100000000000000 ,暂收款,105222000000 ,中国建设银行大连市分行,10121200000000000000000000 ,待报解预算收入海关税费待上缴户,3411242.20 
111,2017030000000000 ,350100000000000000 ,待报解预算收入,301222000000 ,交通银行股份有限公司大连高新技术产业园区支行,212140000000000000000000 ,地方财政授权支付待清算款项（市级）,880464.90 
111,2017030000000000 ,350100000000000000 ,待报解预算收入,105222000000 ,中国建设银行大连保税区支行,212690000000000000000000000 ,国家金库大连保税区支库,838561.48 
111,2017030000000000 ,350100000000000000 ,大连市财政局,102222000000 ,中国工商银行大连市分行会计业务处理中心,3400200000000000000 ,其他应付款待清算过渡款项-零余额退库,18125.57 
112,2017030000000000 ,350100000000000000 ,暂收款,308222000000 ,招商银行大连分行,941159000000000000 ,待结算财政款项-待报解预算收入专户（TIPS）,32626.75 
112,2017030000000000 ,350100000000000000 ,暂收款,305222000000 ,中国民生银行股份有限公司大连分行,2612990100 ,待结算财政款项,18295.43 
112,2017030000000000 ,350100000000000000 ,暂收款,303222000000 ,中国光大银行大连分行,35700100000000000 ,待报解预算收入-银关税费,997432.04 
112,2017030000000000 ,350100000000000000 ,暂收款,303222000000 ,中国光大银行大连分行,35700100000000000 ,待报解预算收入-银税通,1930.82 
112,2017030000000000 ,350100000000000000 ,暂收款,304222000000 ,华夏银行大连分行会计部(不对外办理业务）,7189600000000000 ,待报解预算收入,8406.20 
112,2017030000000000 ,350100000000000000 ,暂收款,310222000000 ,上海浦东发展银行股份有限公司大连分行,75010100000000000 ,待结算财政款项-待报解预算收入(应付银关通税款),4164432.53 
112,2017030000000000 ,350100000000000000 ,暂收款,103222000000 ,中国农业银行股份有限公司大连市分行（不对外办理业务）,34999900000000000 ,国库信息处理系统扣税,90579.46 
112,2017030000000000 ,350100000000000000 ,暂收款,306222000000 ,广发银行股份有限公司大连分行营业部,13300100000000000000000 ,待报解预算收入-国税,189511.04 
112,2017030000000000 ,350100000000000000 ,暂收款,310222000000 ,上海浦东发展银行股份有限公司大连分行,75010100000000000 ,待结算财政款项-待报解预算收入(电子)　,54863.25 
112,2017030000000000 ,350100000000000000 ,暂收款,104221000000 ,中国银行辽宁省分行,9048140000000000 ,待结算财政款项-待报解预算收入,171520.76 
112,2017030000000000 ,350100000000000000 ,暂收款,304222000000 ,华夏银行大连分行会计部(不对外办理业务）,7189600000000000 ,海关预缴税费-税费暂存户,526293.06 
112,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,大连银行股份有限公司(不对外办理业务）,98369000000000 ,待报解预算收入-税库银,334103.29 
112,2017030000000000 ,350100000000000000 ,暂收款,318222000000 ,渤海银行股份有限公司大连分行,410180000000000000000 ,待报解预算收入,19.05 
112,2017030000000000 ,350100000000000000 ,暂收款,105222000000 ,中国建设银行大连市分行,10121200000000000000000000 ,财库联网集中户,221136.54 
112,2017030000000000 ,350100000000000000 ,暂收款,302222000000 ,中信银行大连分行,7201010000000000000 ,联网实时扣税专用账户,50260.45 
112,2017030000000000 ,350100000000000000 ,暂收款,104221000000 ,中国银行辽宁省分行,9048620000000000 ,待报解预算收入（EBCT）,11321327.66 
112,2017030000000000 ,350100000000000000 ,暂收款,302222000000 ,中信银行大连分行,7201010000000000000 ,待结算财政款项-海关（清算行）,164612.42 
112,2017030000000000 ,350100000000000000 ,暂收款,102222000000 ,中国工商银行大连市分行会计业务处理中心,3400200000000000000 ,待报解地方预算收入,4188736.31 
112,2017030000000000 ,350100000000000000 ,暂收款,102222000000 ,中国工商银行大连市分行会计业务处理中心,3400200000000000000 ,待报解预算收入-银关通缴税收入专户,5607364.05 
112,2017030000000000 ,350100000000000000 ,暂收款,313227000000 ,锦州银行股份有限公司锦州分行营业部,923230000000000 ,待报解预算收入,2890.35 
112,2017030000000000 ,350100000000000000 ,暂收款,313226000000 ,丹东银行清算中心,988016000000000 ,待报解预算收入-税库银业务款项,13494.33 
112,2017030000000000 ,350100000000000000 ,暂收款,103222000000 ,中国农业银行股份有限公司大连市分行（不对外办理业务）,34999900000000000 ,银关通系统扣税款项,931607.45 
112,2017030000000000 ,35010000000000000000 ,国库同城票据交换,1222021008 ,中国人民银行大连市中心支行营业部,124500234 ,同城票据交换过渡户,484300.60 
112,2017030000000000 ,350100000000000000 ,暂收款,103222000000 ,中国农业银行股份有限公司大连市分行（不对外办理业务）,34999900000000000 ,国库信息处理系统扣税,1909153.44 
112,2017030000000000 ,350100000000000000 ,暂收款,102222000000 ,中国工商银行大连市分行会计业务处理中心,3400200000000000000 ,待报解地方预算收入,7779181.85 
112,2017030000000000 ,350100000000000000 ,暂收款,102222000000 ,中国工商银行大连市分行会计业务处理中心,3400200000000000000 ,待报解预算收入-银关通缴税收入专户,3191320.90 
112,2017030000000000 ,350100000003371000 ,暂收款,305222006000 ,中国民生银行股份有限公司大连分行,,,180418.44 
112,2017030000000000 ,350100000000000000 ,暂收款,104221000000 ,中国银行辽宁省分行,9048620000000000 ,待报解预算收入（EBCT）,10252454.85 
112,2017030000000000 ,350100000000000000 ,暂收款,403222000000 ,中国邮政储蓄银行股份有限公司大连分行,2115600000000000 ,待报解预算收入,21458.31 
112,2017030000000000 ,350100000000000000 ,暂收款,306222000000 ,广发银行股份有限公司大连分行营业部,13300100000000000000000 ,待报解预算收入-国税,1203.32 
112,2017030000000000 ,350100000000000000 ,暂收款,310222000000 ,上海浦东发展银行股份有限公司大连分行,75010100000000000 ,待结算财政款项-待报解预算收入(电子),98542.76 
112,2017030000000000 ,350100000000000000 ,暂收款,313227000000 ,锦州银行股份有限公司锦州分行营业部,923230000000000 ,待报解预算收入,99334.00 
112,2017030000000000 ,350100000000000000 ,暂收款,310222000000 ,上海浦东发展银行股份有限公司大连分行,75010100000000000 ,待结算财政款项-待报解预算收入(应付银关通税款),8925680.52 
112,2017030000000000 ,350100000000000000 ,暂收款,302222000000 ,中信银行大连分行,7201010000000000000 ,联网实时扣税专用账户,167508.53 
112,2017030000000000 ,350100000000000000 ,暂收款,302222000000 ,中信银行大连分行,7201010000000000000 ,待结算财政款项-海关（清算行）,3199640.74 
112,2017030000000000 ,350100000000000000 ,暂收款,305222000000 ,中国民生银行股份有限公司大连分行,2612990100 ,待结算财政款项,146625.35 
112,2017030000000000 ,350100000000000000 ,暂收款,304222000000 ,华夏银行大连分行会计部(不对外办理业务）,7189600000000000 ,待报解预算收入,11247.41 
112,2017030000000000 ,350100000000000000 ,暂收款,308222000000 ,招商银行大连分行,941159000000000000 ,待结算财政款项-待报解预算收入专户（TIPS）,490429.71 
112,2017030000000000 ,350100000000000000 ,暂收款,104221000000 ,中国银行辽宁省分行,9048140000000000 ,待结算财政款项-待报解预算收入,2715429.03 
112,2017030000000000 ,350100000000000000 ,暂收款,304222000000 ,华夏银行大连分行会计部(不对外办理业务）,7189600000000000 ,海关预缴税费-税费暂存户,658960.51 
112,2017030000000000 ,350100000000000000 ,暂收款,303222000000 ,中国光大银行大连分行,35700100000000000 ,待报解预算收入-银关税费,559894.49 
112,2017030000000000 ,350100000000000000 ,暂收款,303222000000 ,中国光大银行大连分行,35700100000000000 ,待报解预算收入-银税通,5298.13 
112,2017030000000000 ,350100000000000000 ,暂收款,313226000000 ,丹东银行清算中心,988016000000000 ,待报解预算收入-税库银业务款项,1251.16 
112,2017030000000000 ,350100000000000000 ,暂收款,313222000000 ,大连银行股份有限公司(不对外办理业务）,98369000000000 ,待报解预算收入-税库银,765708.25 
112,2017030000000000 ,350100000000000000 ,暂收款,105222000000 ,中国建设银行大连市分行,10121200000000000000000000 ,财库联网集中户,861298.89 
112,2017030000000000 ,350100000000000000 ,暂收款,103222000000 ,中国农业银行股份有限公司大连市分行（不对外办理业务）,34999900000000000 ,银关通系统扣税款项,1260688.69 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,103222000000 ,中国农业银行股份有限公司大连长海支行,34337000000000000 ,行库往来会计,79838.89 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,102222000000 ,中国工商银行大连西岗支行营业部,3400200000000000000 ,其他户-行库往来,4902276.66 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,104222000000 ,中国银行大连长兴岛支行,9044340000000000 ,临时存欠―票据交换待转款项,2462.40 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,102222000000 ,中国工商银行大连甘井子支行营业部,3400200000000000000 ,其他户-行库往来,4826678.79 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,102222000000 ,中国工商银行大连沙河口支行营业部,3400200000000000000 ,其他户-沙河口行库往来,238493.80 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,102222000000 ,中国工商银行大连中山广场支行营业部,3400200000000000000 ,行库往来,93557736.20 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,103222000000 ,中国农业银行股份有限公司大连花园口支行,34569000000000000 ,国家金库花园口支库,21121.00 
112,2017030000000000 ,350100000000000000 ,大连市财政局,302222000000 ,中信银行大连分行,7201010000000000000 ,应收财政支付款项,1508.02 
112,2017030000000000 ,350100000000000000 ,待报解预算收入,103222000000 ,中国农业银行股份有限公司大连旅顺口支行,5010101 ,国家金库旅顺口支库,91363.53 
